case,year,month,gen_id,bus_id,plant_name_kor,unit_name,unit_number,pmax_mw,gen_type,fuel_cost_source_period,fuel_cost_source_type,fuel_cost_source_fuel,fuel_cost_krw_per_gcal,heat_source_classification,heat_qhc_gcal_per_mw2h,heat_lhc_gcal_per_mwh,heat_nlhc_gcal_per_h,gencost_a_1000krw_per_mw2h,gencost_b_1000krw_per_mwh,gencost_c_1000krw_per_h,final_cost_function_1000krw_per_h
KPG193_ver2_0_11th_basic_plan_2024,2024,12,1,3,포천복합,#1,1,725,LNG,2024/12,actual,LNG,82687.26,LNG,0.000141928861019,0.987472829653,135.875551761,0.0135547434707,94.3073931127,12976.6295229,0.0135547434707*P^2 + 94.3073931127*P + 12976.6295229
KPG193_ver2_0_11th_basic_plan_2024,2024,12,2,3,포천복합,#2,2,725,LNG,2024/12,actual,LNG,82687.26,LNG,0.000140305097377,1.07218442194,147.531805987,0.0133996678963,102.397670835,14089.8459239,0.0133996678963*P^2 + 102.397670835*P + 14089.8459239
KPG193_ver2_0_11th_basic_plan_2024,2024,12,3,3,포천천연복합,#1,1,874.2,LNG,2024/12,actual,LNG,82687.26,LNG,0.000123212758725,1.02246288083,169.643221829,0.0114632711931,95.1262629708,15782.9942127,0.0114632711931*P^2 + 95.1262629708*P + 15782.9942127
KPG193_ver2_0_11th_basic_plan_2024,2024,12,4,4,양주열병합,#1,1,524.3,LNG,2024/12,actual,LNG,82687.26,LNG,0.00020846387211,1.08885942429,108.350228455,0.0181781185767,94.9489018302,9448.17574733,0.0181781185767*P^2 + 94.9489018302*P + 9448.17574733
KPG193_ver2_0_11th_basic_plan_2024,2024,12,5,4,동두천복합,#1,1,858.4,LNG,2024/12,actual,LNG,82687.26,LNG,0.000137122310061,1.06842493579,174.065172017,0.0127931946669,99.6815775959,16239.8783199,0.0127931946669*P^2 + 99.6815775959*P + 16239.8783199
KPG193_ver2_0_11th_basic_plan_2024,2024,12,6,4,동두천복합,#2,2,858.4,LNG,2024/12,actual,LNG,82687.26,LNG,0.0001310409167,1.02423741932,166.86625013,0.0122258147192,95.5589844177,15568.2355431,0.0122258147192*P^2 + 95.5589844177*P + 15568.2355431
KPG193_ver2_0_11th_basic_plan_2024,2024,12,7,8,파주문산복합,#1,1,847.6,LNG,2024/12,actual,LNG,82687.26,LNG,0.000127684439076,1.04323697271,167.823230798,0.011935468126,97.5179256434,15687.4936092,0.011935468126*P^2 + 97.5179256434*P + 15687.4936092
KPG193_ver2_0_11th_basic_plan_2024,2024,12,8,8,파주문산복합,#2,2,847.6,LNG,2024/12,actual,LNG,82687.26,LNG,0.00011983865458,1.06959652618,172.063634027,0.0112020732703,99.9819190058,16083.8707867,0.0112020732703*P^2 + 99.9819190058*P + 16083.8707867
KPG193_ver2_0_11th_basic_plan_2024,2024,12,9,8,파주열병합,#1,1,515.5,LNG,2024/12,actual,LNG,82687.26,LNG,0.000205475142128,1.01557238796,99.3614025837,0.0178277922022,88.1148605678,8620.96709039,0.0178277922022*P^2 + 88.1148605678*P + 8620.96709039
KPG193_ver2_0_11th_basic_plan_2024,2024,12,10,9,별내열병합,#1,1,115.41,LNG,2024/12,actual,LNG,82687.26,LNG,0.00100471496464,1.11475420183,24.4174731202,0.0780924998567,86.6454122918,1897.87311153,0.0780924998567*P^2 + 86.6454122918*P + 1897.87311153
