case,year,month,gen_id,bus_id,plant_name_kor,unit_name,unit_number,pmax_mw,gen_type,fuel_cost_source_period,fuel_cost_source_type,fuel_cost_source_fuel,fuel_cost_krw_per_gcal,heat_source_classification,heat_qhc_gcal_per_mw2h,heat_lhc_gcal_per_mwh,heat_nlhc_gcal_per_h,gencost_a_1000krw_per_mw2h,gencost_b_1000krw_per_mwh,gencost_c_1000krw_per_h,final_cost_function_1000krw_per_h
KPG193_ver2_0_11th_basic_plan_2023,2023,12,1,3,포천복합,#1,1,725,LNG,2023/12,actual,LNG,86703.6803,LNG,0.000141928861019,0.987472829653,135.875551761,0.0142131465527,98.8882454488,13606.9515126,0.0142131465527*P^2 + 98.8882454488*P + 13606.9515126
KPG193_ver2_0_11th_basic_plan_2023,2023,12,2,3,포천복합,#2,2,725,LNG,2023/12,actual,LNG,86703.6803,LNG,0.000140305097377,1.07218442194,147.531805987,0.014050538395,107.371497321,14774.2408742,0.014050538395*P^2 + 107.371497321*P + 14774.2408742
KPG193_ver2_0_11th_basic_plan_2023,2023,12,3,3,포천천연복합,#1,1,874.2,LNG,2023/12,actual,LNG,86703.6803,LNG,0.000123212758725,1.02246288083,169.643221829,0.0120200838765,99.7468907877,16549.63152,0.0120200838765*P^2 + 99.7468907877*P + 16549.63152
KPG193_ver2_0_11th_basic_plan_2023,2023,12,4,4,양주열병합,#1,1,524.3,LNG,2023/12,actual,LNG,86703.6803,LNG,0.00020846387211,1.08885942429,108.350228455,0.0190610957665,99.5609145729,9907.10793192,0.0190610957665*P^2 + 99.5609145729*P + 9907.10793192
KPG193_ver2_0_11th_basic_plan_2023,2023,12,5,4,동두천복합,#1,1,858.4,LNG,2023/12,actual,LNG,86703.6803,LNG,0.000137122310061,1.06842493579,174.065172017,0.0134146065598,104.523473576,17028.7081465,0.0134146065598*P^2 + 104.523473576*P + 17028.7081465
KPG193_ver2_0_11th_basic_plan_2023,2023,12,6,4,동두천복합,#2,2,858.4,LNG,2023/12,actual,LNG,86703.6803,LNG,0.0001310409167,1.02423741932,166.86625013,0.012819666909,100.200631086,16324.4412424,0.012819666909*P^2 + 100.200631086*P + 16324.4412424
KPG193_ver2_0_11th_basic_plan_2023,2023,12,7,8,파주문산복합,#1,1,847.6,LNG,2023/12,actual,LNG,86703.6803,LNG,0.000127684439076,1.04323697271,167.823230798,0.0125152171281,102.254725196,16449.4921055,0.0125152171281*P^2 + 102.254725196*P + 16449.4921055
KPG193_ver2_0_11th_basic_plan_2023,2023,12,8,8,파주문산복합,#2,2,847.6,LNG,2023/12,actual,LNG,86703.6803,LNG,0.00011983865458,1.06959652618,172.063634027,0.0117461986227,104.838403658,16865.1227611,0.0117461986227*P^2 + 104.838403658*P + 16865.1227611
KPG193_ver2_0_11th_basic_plan_2023,2023,12,9,8,파주열병합,#1,1,515.5,LNG,2023/12,actual,LNG,86703.6803,LNG,0.000205475142128,1.01557238796,99.3614025837,0.0186937527686,92.3949191248,9039.71874847,0.0186937527686*P^2 + 92.3949191248*P + 9039.71874847
KPG193_ver2_0_11th_basic_plan_2023,2023,12,10,9,별내열병합,#1,1,115.41,LNG,2023/12,actual,LNG,86703.6803,LNG,0.00100471496464,1.11475420183,24.4174731202,0.0818857359815,90.8540944133,1990.05969616,0.0818857359815*P^2 + 90.8540944133*P + 1990.05969616
KPG193_ver2_0_11th_basic_plan_2023,2023,12,11,9,노원열병합,#1,1,37,LNG,2023/12,actual,LNG,86703.6803,LNG,0.00299829526196,1.13261111173,7.95354424543,0.244365439808,92.3094586319,648.225464058,0.244365439808*P^2 + 92.3094586319*P + 648.225464058
KPG193_ver2_0_11th_basic_plan_2023,2023,12,12,10,일산복합,#1,1,600,LNG,2023/12,actual,LNG,86703.6803,LNG,0.000188451395213,1.0715714307,122.025483172,0.0179733724749,102.200105421,11638.0643295,0.0179733724749*P^2 + 102.200105421*P + 11638.0643295
KPG193_ver2_0_11th_basic_plan_2023,2023,12,13,10,일산복합,#2,2,300,LNG,2023/12,actual,LNG,86703.6803,LNG,0.000376595548172,1.05428017236,60.0282182526,0.0306930868104,85.9253727504,4892.38739769,0.0306930868104*P^2 + 85.9253727504*P + 4892.38739769
KPG193_ver2_0_11th_basic_plan_2023,2023,12,14,19,서울복합,#1,1,369.173,LNG,2023/12,actual,LNG,86703.6803,LNG,0.000304250015939,1.06553898283,74.6581859275,0.0257091982474,90.0382958581,6308.63435415,0.0257091982474*P^2 + 90.0382958581*P + 6308.63435415
KPG193_ver2_0_11th_basic_plan_2023,2023,12,15,19,서울복합,#2,2,369.173,LNG,2023/12,actual,LNG,86703.6803,LNG,0.000278288750738,1.04207411304,73.0140934634,0.0235154652028,88.0555088151,6169.70815239,0.0235154652028*P^2 + 88.0555088151*P + 6169.70815239
KPG193_ver2_0_11th_basic_plan_2023,2023,12,16,20,하남열병합,#1,1,363.811,LNG,2023/12,actual,LNG,86703.6803,LNG,0.000297996855372,1.06078605516,73.2456415454,0.0251115345677,89.3900899057,6172.24788266,0.0251115345677*P^2 + 89.3900899057*P + 6172.24788266
KPG193_ver2_0_11th_basic_plan_2023,2023,12,17,21,신인천복합,#1,1,450,LNG,2023/12,actual,LNG,86703.6803,LNG,0.000215966151864,0.973891141774,83.1765856153,0.0190059360897,85.7065453963,7319.89182894,0.0190059360897*P^2 + 85.7065453963*P + 7319.89182894
KPG193_ver2_0_11th_basic_plan_2023,2023,12,18,21,신인천복합,#2,2,450,LNG,2023/12,actual,LNG,86703.6803,LNG,0.000239177450002,1.08999990667,93.0930230999,0.0210486286374,95.9246084866,8192.58032871,0.0210486286374*P^2 + 95.9246084866*P + 8192.58032871
KPG193_ver2_0_11th_basic_plan_2023,2023,12,19,21,신인천복합,#3,3,450,LNG,2023/12,actual,LNG,86703.6803,LNG,0.000248264883171,1.10964244789,94.7706228246,0.0218483612461,97.6532353098,8340.21620996,0.0218483612461*P^2 + 97.6532353098*P + 8340.21620996
KPG193_ver2_0_11th_basic_plan_2023,2023,12,20,21,신인천복합,#4,4,450,LNG,2023/12,actual,LNG,86703.6803,LNG,0.000270263736091,1.07814972322,92.0809409929,0.0237843534793,94.881742151,8103.51281661,0.0237843534793*P^2 + 94.881742151*P + 8103.51281661
KPG193_ver2_0_11th_basic_plan_2023,2023,12,21,24,목동열병합,#1,1,21,LNG,2023/12,actual,LNG,86703.6803,LNG,0.00559902951228,1.10089203418,4.38775311563,0.456329076934,89.724307518,357.608282771,0.456329076934*P^2 + 89.724307518*P + 357.608282771
KPG193_ver2_0_11th_basic_plan_2023,2023,12,22,26,부천복합,#1,1,450,LNG,2023/12,actual,LNG,86703.6803,LNG,0.000230762793728,1.01737896448,86.8907261939,0.0203081032449,89.5336579877,7646.75193112,0.0203081032449*P^2 + 89.5336579877*P + 7646.75193112
KPG193_ver2_0_11th_basic_plan_2023,2023,12,23,27,인천공항열병합,#1,1,127,LNG,2023/12,actual,LNG,86703.6803,LNG,0.000835273544874,1.08713511695,26.203868112,0.0680760129739,88.6030986854,2135.65349521,0.0680760129739*P^2 + 88.6030986854*P + 2135.65349521
KPG193_ver2_0_11th_basic_plan_2023,2023,12,24,27,송도열병합,#1,1,187.3,LNG,2023/12,actual,LNG,86703.6803,LNG,0.000640108407074,1.04968923339,37.3144186096,0.0521697694032,85.551204524,3041.17957641,0.0521697694032*P^2 + 85.551204524*P + 3041.17957641
KPG193_ver2_0_11th_basic_plan_2023,2023,12,25,34,서인천복합,#1,1,225,LNG,2023/12,actual,LNG,86703.6803,LNG,0.000490219335207,1.04053763754,44.4343131292,0.0399535912857,84.8053361053,3621.46137111,0.0399535912857*P^2 + 84.8053361053*P + 3621.46137111
KPG193_ver2_0_11th_basic_plan_2023,2023,12,26,34,서인천복합,#2,2,225,LNG,2023/12,actual,LNG,86703.6803,LNG,0.000476123396838,1.07179692743,45.7691856268,0.0388047517358,87.3530138537,3730.25542789,0.0388047517358*P^2 + 87.3530138537*P + 3730.25542789
KPG193_ver2_0_11th_basic_plan_2023,2023,12,27,34,서인천복합,#3,3,225,LNG,2023/12,actual,LNG,86703.6803,LNG,0.000492229645897,1.07042097898,45.7104281902,0.040117434541,87.2408720468,3725.46661105,0.040117434541*P^2 + 87.2408720468*P + 3725.46661105
KPG193_ver2_0_11th_basic_plan_2023,2023,12,28,34,서인천복합,#4,4,225,LNG,2023/12,actual,LNG,86703.6803,LNG,0.000485058194709,1.03737052561,44.2990672353,0.0395329508025,84.5472118612,3610.43863336,0.0395329508025*P^2 + 84.5472118612*P + 3610.43863336
KPG193_ver2_0_11th_basic_plan_2023,2023,12,29,34,서인천복합,#5,5,225,LNG,2023/12,actual,LNG,86703.6803,LNG,0.000464043608508,1.08475815272,46.3226717503,0.0378202313567,88.4093726319,3775.36535476,0.0378202313567*P^2 + 88.4093726319*P + 3775.36535476
KPG193_ver2_0_11th_basic_plan_2023,2023,12,30,34,서인천복합,#6,6,225,LNG,2023/12,actual,LNG,86703.6803,LNG,0.000424451028282,1.02857476418,43.9234598532,0.0345933782836,83.8303444667,3579.82608353,0.0345933782836*P^2 + 83.8303444667*P + 3579.82608353
KPG193_ver2_0_11th_basic_plan_2023,2023,12,31,34,서인천복합,#7,7,225,LNG,2023/12,actual,LNG,86703.6803,LNG,0.000518132232344,1.16679057521,49.8257207664,0.0422285331406,95.0951347894,4060.86896221,0.0422285331406*P^2 + 95.0951347894*P + 4060.86896221
KPG193_ver2_0_11th_basic_plan_2023,2023,12,32,34,서인천복합,#8,8,225,LNG,2023/12,actual,LNG,86703.6803,LNG,0.000457091021695,1.1037897527,47.1353824514,0.0372535853842,89.9604758067,3841.60246304,0.0372535853842*P^2 + 89.9604758067*P + 3841.60246304
KPG193_ver2_0_11th_basic_plan_2023,2023,12,33,34,인천복합,#1,1,503.539,LNG,2023/12,actual,LNG,86703.6803,LNG,0.000199346732893,1.04599029276,99.9629183234,0.0180121602617,94.5114299691,9032.24286115,0.0180121602617*P^2 + 94.5114299691*P + 9032.24286115
KPG193_ver2_0_11th_basic_plan_2023,2023,12,34,34,인천복합,#2,2,508.908,LNG,2023/12,actual,LNG,86703.6803,LNG,0.000216032941963,1.11237560922,107.440716256,0.0195801978327,100.820431805,9737.9152479,0.0195801978327*P^2 + 100.820431805*P + 9737.9152479
KPG193_ver2_0_11th_basic_plan_2023,2023,12,35,34,인천복합,#3,3,450,LNG,2023/12,actual,LNG,86703.6803,LNG,0.000221371623699,1.06924608759,91.3205130775,0.019481640506,94.0981845047,8036.59193926,0.019481640506*P^2 + 94.0981845047*P + 8036.59193926
KPG193_ver2_0_11th_basic_plan_2023,2023,12,36,34,포스코에너지복합,#3,3,450,LNG,2023/12,actual,LNG,86703.6803,LNG,0.000218140547759,0.987423174422,84.3323084922,0.019197292138,86.8974215844,7421.60033719,0.019197292138*P^2 + 86.8974215844*P + 7421.60033719
KPG193_ver2_0_11th_basic_plan_2023,2023,12,37,34,포스코에너지복합,#4,4,450,LNG,2023/12,actual,LNG,86703.6803,LNG,0.000243311658873,1.04830959313,89.5324013994,0.0214124565285,92.2556843158,7879.23053804,0.0214124565285*P^2 + 92.2556843158*P + 7879.23053804
