hour,bus_id,pv_profile_ratio,wind_profile_ratio,hydro_profile_ratio
1,1,0.0,0.22713106111832443,0.09276643
2,1,0.0,0.2059999654218779,0.09110988
3,1,0.0,0.1932615126075017,0.08945334
4,1,0.0,0.2116221217824587,0.0877968
5,1,0.0,0.15806795208969002,0.08669244
6,1,0.0,0.11626833939468863,0.08503589
7,1,0.0,0.12030267627398505,0.08669244
8,1,0.0,0.2415608194700072,0.09718388
9,1,0.0,0.28828118016856075,0.20209829
10,1,0.0,0.31130263427782956,0.23467697
11,1,0.10107954186080827,0.35182194929884725,0.24295969
12,1,0.14518005216159965,0.3077145851942338,0.22915516
13,1,0.2000764249127449,0.471716433788907,0.12424075
14,1,0.23303566885981655,0.5767382614527673,0.12313639
15,1,0.31693671536143914,0.48403479110178993,0.12203203
16,1,0.3189952415267713,0.36604797726664734,0.17448923
17,1,0.2201507625371905,0.4529666002823714,0.20817228
18,1,0.13084307282221774,0.0,0.22197681
19,1,0.0,0.19815982926906536,0.22970734
20,1,0.0,0.08681582363335019,0.21976808
21,1,0.0,0.0,0.17062396
22,1,0.0,0.0,0.11816676
23,1,0.0,0.09907275188125074,0.10104914
24,1,0.0,0.0,0.10104914
1,2,0.0,0.07873172513450254,0.09276643
2,2,0.0,0.3556213855349807,0.09110988
3,2,0.0,0.0,0.08945334
4,2,0.0,0.09804789327806472,0.0877968
5,2,0.0,0.09322329247644173,0.08669244
6,2,0.0,0.10338865500927245,0.08503589
7,2,0.0,0.13178484956593103,0.08669244
8,2,0.0,0.2492455344751411,0.09718388
9,2,0.0,0.25717757325999896,0.20209829
10,2,0.0,0.33485500912063737,0.23467697
11,2,0.0,0.3903269006935832,0.24295969
12,2,0.1243446497843921,0.31939838674075954,0.22915516
13,2,0.17346965535009598,0.3520465699429068,0.12424075
14,2,0.2186291536930356,0.5399837441534099,0.12313639
15,2,0.24425991269253744,0.4629710751622053,0.12203203
16,2,0.2229695921349596,0.2996833809444751,0.17448923
17,2,0.20928707723662535,0.4302782718585056,0.20817228
18,2,0.10695204142587804,0.22746461490867045,0.22197681
19,2,0.0,0.23445833597443566,0.22970734
20,2,0.0,0.0815466224697343,0.21976808
21,2,0.0,0.20634786181889406,0.17062396
22,2,0.0,0.09454504847995986,0.11816676
23,2,0.0,0.0,0.10104914
24,2,0.0,0.20412293245821314,0.10104914
1,3,0.0,0.23588202933932556,0.09276643
2,3,0.0,0.3174105415359372,0.09110988
3,3,0.0,0.0,0.08945334
